Id,Label,modularity_class,indegree,outdegree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,pageranks
163079605,axoraid,0,0,1,1,1,1,1,0,0.000227
2262846889,tetehseulgi_,0,0,1,1,1,1,1,0,0.000227
1325101272626733057,cooncealer_,0,0,1,1,1,1,1,0,0.000227
1353846816,asongasonk,137,0,1,1,1,1,1,0,0.000227
1302594912035074048,moushiwakeBYE,0,0,1,1,1,1,1,0,0.000227
160210697,silvermoon0808,0,0,1,1,1,1,1,0,0.000227
1166310467779719168,holyshut21,0,0,1,1,1,1,1,0,0.000227
146473466,dhikAJA,0,0,1,1,1,1,1,0,0.000227
1136120274875703297,ranningawayyy,0,0,1,1,1,1,1,0,0.000227
1566934415095132160,nathanaeltio,0,0,1,1,1,1,1,0,0.000227
58099826,yoyok_cendol,0,0,1,1,1,1,1,0,0.000227
827773187651883008,madebysunshine7,0,0,1,1,1,1,1,0,0.000227
1061236271652102144,fxxxurs,0,0,1,1,1,1,1,0,0.000227
4662305532,Sanraitoo,0,0,1,1,1,1,1,0,0.000227
779591657532461056,sukanasipecel,0,0,1,1,1,1,1,0,0.000227
1669415858,bayuapriansya96,0,0,1,1,1,1,1,0,0.000227
2194457024,STRIP22,0,0,1,1,1,1,1,0,0.000227
1073902096322256897,ichaansh,0,0,1,1,1,1,1,0,0.000227
1379031566244974595,sireleons,0,0,1,1,1,1,1,0,0.000227
1502469488599797761,Kararayu,0,0,1,1,1,1,1,0,0.000227
1573177130900258816,avocrydo,0,0,1,1,1,1,1,0,0.000227
1167963794263293952,tilanissia,0,0,1,1,1,1,1,0,0.000227
1296341093278130176,sawikohl,0,0,1,1,1,1,1,0,0.000227
744430117112287232,Nacha_rinn,0,0,1,1,1,1,1,0,0.000227
499418166,ivandwisandra,0,0,1,1,1,1,1,0,0.000227
1542145800737792006,lemonskuash,0,0,1,1,1,1,1,0,0.000227
1149139150127259650,menjadipatrick,0,0,1,1,1,1,1,0,0.000227
1076442954577801217,wxndxfh_,0,0,1,1,1,1,1,0,0.000227
1208081693715787776,_underrpressure,0,0,1,1,1,1,1,0,0.000227
103753576,jeremiacaesar,0,0,1,1,1,1,1,0,0.000227
1531584979188449281,rahmaniseee,0,0,1,1,1,1,1,0,0.000227
2259874477,helemperoyek,0,0,1,1,1,1,1,0,0.000227
1038738560,almaasnurmadina,0,0,1,1,1,1,1,0,0.000227
377315206,meftafitri,0,0,1,1,1,1,1,0,0.000227
255391339,ApietHafizh,0,0,1,1,1,1,1,0,0.000227
1484021218680655873,pepegaartsy,0,0,1,1,1,1,1,0,0.000227
1226689097625817090,ijlifi,0,0,1,1,1,1,1,0,0.000227
1375684048270467077,rachelerinaa,0,0,1,1,1,1,1,0,0.000227
1215434333718106112,haedhey,0,0,1,1,1,1,1,0,0.000227
1293197499340005377,detzoit,0,0,1,1,1,1,1,0,0.000227
1143411403836911616,boutterfIies,0,0,1,1,1,1,1,0,0.000227
70077729,sssambattt,0,0,1,1,1,1,1,0,0.000227
1303983991351988224,JustFrascher,0,0,1,1,1,1,1,0,0.000227
1447389645210193921,kiyoranara,0,0,1,1,1,1,1,0,0.000227
232563672,kataceking,0,0,1,1,1,1,1,0,0.000227
715524025426923520,daniel_osckardo,0,0,1,1,1,1,1,0,0.000227
62822491,BetterThanShit,0,0,1,1,1,1,1,0,0.000227
1180398590507675648,laminotlame,0,0,1,1,1,1,1,0,0.000227
66905101,aldryandimas,0,0,1,1,1,1,1,0,0.000227
1448080308,strike_bravo_b,0,0,1,1,1,1,1,0,0.000227
507321046,irachmann,0,0,1,1,1,1,1,0,0.000227
811436655051608064,konyolberontak,137,0,1,1,1,1,1,0,0.000227
128866615,Abd_Chaniago,0,0,1,1,1,1,1,0,0.000227
103502194,inyonkjm,0,0,1,1,1,1,1,0,0.000227
1197484876619907072,mauludin_dzikri,0,0,1,1,1,1,1,0,0.000227
240694278,ejaojojo,0,0,1,1,1,1,1,0,0.000227
849788781565665280,lambenoona,0,0,1,1,1,1,1,0,0.000227
983334770892419072,nisasftr,0,0,1,1,1,1,1,0,0.000227
219202687,opomenehhhhh,0,0,1,1,1,1,1,0,0.000227
1280399827117862912,jaemini0n,0,0,1,1,1,1,1,0,0.000227
1545002823665872897,tdywinss,0,0,1,1,1,1,1,0,0.000227
1347189363046694916,AnL9z,0,0,1,1,1,1,1,0,0.000227
1466767979736014850,emzetef_mk3,0,0,1,1,1,1,1,0,0.000227
1047463939666149376,cipanpan,0,0,1,1,1,1,1,0,0.000227
723597247,rjannsh,0,0,1,1,1,1,1,0,0.000227
561982173,halomochicat,0,0,1,1,1,1,1,0,0.000227
575068212,Dee_Ann_Rose,0,0,1,1,1,1,1,0,0.000227
1068704853550018560,caramelauchiato,0,0,1,1,1,1,1,0,0.000227
1238865949421236224,peacygloomy_,137,0,2,2,1,1,1,0,0.000227
554942958,InaSaptiani,0,0,1,1,1,1,1,0,0.000227
1180664453127294976,chickenskewersy,0,0,1,1,1,1,1,0,0.000227
238860947,flufvyoong,0,0,1,1,1,1,1,0,0.000227
4496597054,amengiaw,0,0,1,1,1,1,1,0,0.000227
71277240,nina_aretha,0,0,1,1,1,1,1,0,0.000227
1412378918955356160,spemcial,0,0,1,1,1,1,1,0,0.000227
290992484,DiDiDon_,0,0,1,1,1,1,1,0,0.000227
250231469,angeunlada,0,0,1,1,1,1,1,0,0.000227
